	filename	date	authors	genres	names	topics	multiple_authors	leader_in_authors	is_written_text	addressed_to_people	regular_occasion	has_major_topic	pattern	year	is_fragment	distorted	full_pattern	token_count	filename_raw	period	period-denser
0	1894.10.20_николай ii_манифест_о восшествии на престол	1894.10.20	['николай ii']	['манифест']	['о восшествии на престол']	['о восшествии на престол']	False	True	True	True	False	False	0111	1894	False	False	01110000	478	1894.10.20_николай-ii_манифест_о-восшествии-на-престол.txt	николай ii	николай ii
1	1896.01.01_николай ii_манифест_коронование	1896.01.01	['николай ii']	['манифест']	['коронование']	['коронование']	False	True	True	True	False	False	0111	1896	False	False	01110000	202	1896.01.01_николай-ii_манифест_коронование.txt	николай ii	николай ii
2	1899.02.03_николай ii_манифест_законы княжества финляндского	1899.02.03	['николай ii']	['манифест']	['законы княжества финляндского']	['законы княжества финляндского']	False	True	True	True	False	False	0111	1899	False	False	01110000	455	1899.02.03_николай-ii_манифест_законы-княжества-финляндского.txt	николай ii	николай ii
3	1903.02.26_николай ii_манифест_усовершенствование государственной власти	1903.02.26	['николай ii']	['манифест']	['усовершенствование государственной власти']	['усовершенствование государственной власти']	False	True	True	True	False	False	0111	1903	False	False	01110000	679	1903.02.26_николай-ii_манифест_усовершенствование-государственной-власти.txt	николай ii	николай ii
4	1904.01.27_николай ii_манифест_об открытии военных действий против японии_русско японская война 1904	1904.01.27	['николай ii']	['манифест']	['об открытии военных действий против японии']	['русско японская война 1904']	False	True	True	True	False	True	0111	1904	False	False	01110100	399	1904.01.27_николай-ii_манифест_об-открытии-военных-действий-против-японии_русско-японская-война-1904.txt	николай ii	николай ii
5	1904.12.12_николай ii_указ_о предначертаниях к усовершенствованию государственного порядка	1904.12.12	['николай ii']	['указ']	['о предначертаниях к усовершенствованию государственного порядка']	['о предначертаниях к усовершенствованию государственного порядка']	False	True	True	False	False	False	0110	1904	False	False	01100000	853	1904.12.12_николай-ii_указ_о-предначертаниях-к-усовершенствованию-государственного-порядка.txt	николай ii	николай ii
6	1905.08.06_николай ii_манифест_учреждение госдумы 1	1905.08.06	['николай ii']	['манифест']	['учреждение госдумы 1']	['учреждение госдумы 1']	False	True	True	True	False	False	0111	1905	False	False	01110000	582	1905.08.06_николай-ii_манифест_учреждение-госдумы-1.txt	николай ii	николай ii
7	1905.10.17_николай ii_манифест_об усовершенствовании государственного порядка_революция 1905	1905.10.17	['николай ii']	['манифест']	['об усовершенствовании государственного порядка']	['революция 1905']	False	True	True	True	False	True	0111	1905	False	False	01110100	392	1905.10.17_николай-ii_манифест_об-усовершенствовании-государственного-порядка_революция-1905.txt	николай ii	николай ii
8	1906.07.06_николай ii_манифест_роспуск думы 1	1906.07.06	['николай ii']	['манифест']	['роспуск думы 1']	['роспуск думы 1']	False	True	True	True	False	False	0111	1906	False	False	01110000	518	1906.07.06_николай-ii_манифест_роспуск-думы-1.txt	николай ii	николай ii
9	1907.06.03_николай ii_манифест_роспуск думы 2	1907.06.03	['николай ii']	['манифест']	['роспуск думы 2']	['роспуск думы 2']	False	True	True	True	False	False	0111	1907	False	False	01110000	846	1907.06.03_николай-ii_манифест_роспуск-думы-2.txt	николай ii	николай ii
10	1914.07.20_николай ii_манифест_об объявлении военных действий между россией и германией_1 мировая война	1914.07.20	['николай ii']	['манифест']	['об объявлении военных действий между россией и германией']	['1 мировая война']	False	True	True	True	False	True	0111	1914	False	False	01110100	849	1914.07.20_николай-ii_манифест_об-объявлении-военных-действий-между-россией-и-германией_1-мировая-война.txt	николай ii	николай ii
11	1914.08.01_николай ii_воззвание_воззвание к полякам_1 мировая война	1914.08.01	['николай ii']	['воззвание']	['воззвание к полякам']	['1 мировая война']	False	True	True	True	False	True	0111	1914	False	False	01110100	194	1914.08.01_николай-ii_воззвание_воззвание-к-полякам_1-мировая-война.txt	николай ii	николай ii
12	1914.10.20_николай ii_манифест_об объявлении войны турции_1 мировая война	1914.10.20	['николай ii']	['манифест']	['об объявлении войны турции']	['1 мировая война']	False	True	True	True	False	True	0111	1914	False	False	01110100	234	1914.10.20_николай-ii_манифест_об-объявлении-войны-турции_1-мировая-война.txt	николай ii	николай ii
13	1917.03.02_николай ii_манифест_отречение	1917.03.02	['николай ii']	['манифест']	['отречение']	['отречение']	False	True	True	True	False	False	0111	1917	False	False	01110000	291	1917.03.02_николай-ii_манифест_отречение.txt	николай ii	николай ii
14	1917.03.03_временное правительство_декларация.обращение к гражданам_декларация о составе и задачах	1917.03.03	['временное правительство']	['декларация', 'обращение к гражданам']	['декларация о составе и задачах']	['декларация о составе и задачах']	True	False	True	False	False	False	1010	1917	False	False	10100000	451	1917.03.03_временное-правительство_декларация.обращение-к-гражданам_декларация-о-составе-и-задачах.txt	временное правительство	временное правительство
15	1917.03.03_временное правительство_телеграмма.за границу_о взятии власти	1917.03.03	['временное правительство']	['телеграмма', 'за границу']	['о взятии власти']	['о взятии власти']	True	False	True	False	False	False	1010	1917	False	False	10100000	783	1917.03.03_временное-правительство_телеграмма.за-границу_о-взятии-власти.txt	временное правительство	временное правительство
