
	filename	date	authors	genres	names	topics	multiple_authors	leader_in_authors	is_written_text	addressed_to_people	regular_occasion	has_major_topic
0	1894.10.20_николай ii_манифест_о восшествии на престол	1894.10.20	['николай ii']	['манифест']	['о восшествии на престол']	['о восшествии на престол']	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
1	1896.01.01_николай ii_манифест_коронование	1896.01.01	['николай ii']	['манифест']	['коронование']	['коронование']	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
2	1899.02.03_николай ii_манифест_законы княжества финляндского	1899.02.03	['николай ii']	['манифест']	['законы княжества финляндского']	['законы княжества финляндского']	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
3	1903.02.26_николай ii_манифест_усовершенствование государственной власти	1903.02.26	['николай ii']	['манифест']	['усовершенствование государственной власти']	['усовершенствование государственной власти']	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
4	1904.01.27_николай ii_манифест_об открытии военных действий против японии_русско японская война 1904	1904.01.27	['николай ii']	['манифест']	['об открытии военных действий против японии']	['русско японская война 1904']	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
5	1904.12.12_николай ii_указ_о предначертаниях к усовершенствованию государственного порядка	1904.12.12	['николай ii']	['указ']	['о предначертаниях к усовершенствованию государственного порядка']	['о предначертаниях к усовершенствованию государственного порядка']	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
6	1905.08.06_николай ii_манифест_учреждение госдумы 1	1905.08.06	['николай ii']	['манифест']	['учреждение госдумы 1']	['учреждение госдумы 1']	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
7	1905.10.17_николай ii_манифест_об усовершенствовании государственного порядка_революция 1905	1905.10.17	['николай ii']	['манифест']	['об усовершенствовании государственного порядка']	['революция 1905']	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
8	1906.07.06_николай ii_манифест_роспуск думы 1	1906.07.06	['николай ii']	['манифест']	['роспуск думы 1']	['роспуск думы 1']	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
9	1907.06.03_николай ii_манифест_роспуск думы 2	1907.06.03	['николай ii']	['манифест']	['роспуск думы 2']	['роспуск думы 2']	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
10	1914.07.20_николай ii_манифест_об объявлении военных действий между россией и германией_1 мировая война	1914.07.20	['николай ii']	['манифест']	['об объявлении военных действий между россией и германией']	['1 мировая война']	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
11	1914.08.01_николай ii_воззвание_воззвание к полякам_1 мировая война	1914.08.01	['николай ii']	['воззвание']	['воззвание к полякам']	['1 мировая война']	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
12	1914.10.20_николай ii_манифест_об объявлении войны турции_1 мировая война	1914.10.20	['николай ii']	['манифест']	['об объявлении войны турции']	['1 мировая война']	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
13	1917.03.02_николай ii_манифест_отречение	1917.03.02	['николай ii']	['манифест']	['отречение']	['отречение']	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
14	1917.03.03_временное правительство_декларация.обращение к гражданам_декларация о составе и задачах	1917.03.03	['временное правительство']	['декларация', 'обращение к гражданам']	['декларация о составе и задачах']	['декларация о составе и задачах']	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
